text,category
worldcom bos left book alon former worldcom bos berni ebber accus overse bn bn fraud never made account decis wit told juror david myer made comment question defenc lawyer argu mr ebber respons worldcom problem phone compani collaps prosecutor claim loss hidden protect firm share mr myer alreadi plead guilti fraud assist prosecutor monday defenc lawyer reid weingarten tri distanc client alleg cross examin ask mr myer ever knew mr ebber make account decis awar mr myer repli ever know mr ebber make account entri worldcom book mr weingarten press repli wit mr myer admit order fals account entri request former worldcom chief financi offic scott sullivan defenc lawyer tri paint mr sullivan admit fraud testifi later trial mastermind behind worldcom account hous card mr ebber team meanwhil look portray affabl bos admiss pe graduat economist whatev abil mr ebber transform worldcom rel unknown bn telecom giant investor darl late worldcom problem mount howev competit increas telecom boom peter firm final collaps sharehold lost bn worker lost job mr ebber trial expect last two month found guilti former ceo face substanti jail sentenc firmli declar innoc,business
tiger wari farrel gambl leicest say rush make bid andi farrel great britain rugbi leagu captain decid switch code anybodi el involv process still way away go next stage tiger bos john well told bbc radio leicest moment still lot unknown andi farrel least medic situat whoever take go take big big gambl farrel persist knee problem oper knee five week ago expect anoth three month leicest saracen believ head list rugbi union club interest sign farrel decid move man game move across union well believ would better play back least initi sure could make step leagu union involv centr said well think england would prefer progress posit back row make use rugbi leagu skill within forward juri whether cross divid club balanc struck cost gambl option bring readi made replac,sport
yead face newcastl fa cup premiership side newcastl unit face trip ryman premier leagu leader yead fa cup third round game arguabl highlight draw potenti money spinner non leagu yead beat slough second round confer side exet citi knock doncast saturday travel old trafford meet holder manchest unit januari arsen drawn home stoke chelsea play host scunthorp non leagu side draw hinckley unit held brentford goalless draw sunday meet leagu one leader luton win replay martin allen team griffin park number premiership team face difficult away game championship side weekend januari third place everton visit plymouth liverpool travel burnley crystal palac go sunderland fulham face carl cup semi finalist watford bolton meet ipswich aston villa drawn sheffield unit premiership struggler norwich blackburn west brom away west ham cardiff preston north end respect southampton visit northampton alreadi beaten leagu two side carl cup earlier season middlesbrough drawn away either swindon nott counti spur entertain brighton white hart lane arsen v stoke swindon nott co v middlesbrough man utd v exet plymouth v everton leicest v blackpool derbi v wigan sunderland v crystal palac wolv v millwal yead v newcastl hull v colchest tottenham v brighton read v stockport swansea birmingham v leed hartlepool v boston milton keyn don v peterborough oldham v man citi chelsea v scunthorp cardiff v blackburn charlton v rochdal west ham v norwich sheff utd v aston villa preston v west brom rotherham v yeovil burnley v liverpool bournemouth v chester coventri v crew watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v hinckley brentford match play weekend januari,sport
howard hit back mongrel jibe michael howard said claim peter hain torus leader act like attack mongrel show labour rattl opposit upbeat speech parti spring confer brighton said labour campaign tactic prove torus hit home mr hain made claim torus tactic anti terror bill debat someth tell someon somewher littl bit rattl mr howard said mr hain leader common told bbc radio four today programm mr howard stanc govern anti terror legisl put countri risk accus torus leader behav like attack mongrel play opposit opposit sake mr howard told parti labour would anyth say anyth claim anyth cling offic cost far year compar fagin shylock fli pig morn peter hain even call mongrel know someth tell someon somewher littl bit rattl environ secretari margaret beckett reject mr howard comment tell radio pm programm labour rattl real duti tri get peopl focu michael howard record propos tri put forward countri also mani exampl see believ realli poor judgement behalf mr howard said torus polici school tax immigr crime strike chord voter sinc begin year elect year make polit weather told parti confer mr howard deni play polit rais case margaret dixon whose oper cancel seven time grab headlin parti two week ago hit back labour claim use mr dixon human shield human shield mr blair human mr howard said parti plan immigr quota also focu much medium coverag racist common sen pledg cleaner hospit better school disciplin promis get rid polit correct nation curriculum give everyon chanc decent state educ come ordinari famili teenag michael howard appli cambridg today gordon brown would love stress parti commit cut tax red tape increas basic state pension line earn finish person appeal parti activist go win next elect one day abl tell child grandchild tell mine bit play part help win famou elect elect transform countri better labour elect co ordin alan milburn said michael howard speech today confirm alway said strategi opportun forward vision countri refer appear mr howard famili confer stage mr milburn said michael howard perfectli entitl pose famili today hard work famili across britain damag plan cut bn public spend,politics
blair prepar name poll date toni blair like name may elect day parliament return easter break bbc polit editor learn andrew marr say mr blair ask queen april dissolv parliament end week mr blair far resist call name day parti step campaign recent down street would drawn claim say elect time matter prime minist number spokeswoman would say announc elect want announc elect move signal frantic week westminst govern like tri get key legisl parliament govern need financ bill cover budget plan pas common close busi end session april also seek push seriou organis crime bill id card bill mr marr said wednesday today programm almost nobodi senior level insid govern parliament expect elect call april soon common back short easter recess toni blair whip palac ask queen dissolv parliament go labour govern offici june hold gener elect recent year govern favour four year term,politics
henman hope end dubai third seed tim henman slump straight set defeat rain interrupt dubai open quarter final ivan ljubic croatian eighth seed book place last four victori british number one henman look cours level match go second set progress halt rain interven ljubic hit back break seal fourth straight win henman earlier day spanish fifth seed tommi robredo secur semi final place beat nicola kiefer germani afterward henman left cur weather umpir seven break rain match incred frustrat henman said rain umpir take control kept tell u play till end game rain come score irrelev frustrat happi form expect desert,sport
wilkinson fit face edinburgh england captain jonni wilkinson make long await return injuri edinburgh saturday wilkinson play sinc injur bicep octob took part full contact train newcastl falcon wednesday year old fli half start saturday heineken cup match murrayfield bench newcastl director rugbi rob andrew said fine hope get game stage year old miss england autumn intern aggrav haematoma upper right arm saracen subsequ replac england captain full back jason robinson sale charli hodgson took number shirt intern canada south africa australia wilkinson year disrupt injuri muscl problem follow eight month sidelin shoulder injuri sustain world cup final,sport
virgin blue share plummet share australian budget airlin virgin blue plung warn steep fall full year profit virgin blue said profit tax year march would lower previou year sluggish demand report previous novemb decemb continu said virgin blue chief execut brett godfrey virgin blue own richard branson struggl fend pressur rival jetstar cut full year passeng number forecast approxim virgin blue report fall first quarter profit august due tough competit novemb first half profit due slack demand rise fuel cost virgin blue launch four year ago roughli one third australia domest airlin market nation carrier qanta fought back budget airlin jetstar took sky may sydney list virgin blue share recov slightli close wednesday share major sharehold patrick corpor own virgin blue drop close,business
crude oil price back cold weather across part unit state much europ push u crude oil price barrel first time almost three month freez temperatur heavi snowfal increas demand heat fuel u stock low fresh fall valu dollar help carri price mark first time sinc novemb barrel u crude oil close new york tuesday opec member said tuesday saw reason cut output although last year peak barrel reach octob price well averag brent crude also rose london trade ad close much western europ north east america shiver unseason low temperatur recent day declin u dollar five week low euro also serv inflat price dollar move sharpli overnight oil follow said chri fur senior market strategist cast dollar continu weaken oil obvious higher sever opec member said cut product unlik cite rise price strong demand oil asia agre need cut suppli price much fathi bin shatwan libya oil minist told reuter think need cut unless price fall barrel ad opec close watch global stock ensur excess suppli market arriv spring northern hemispher focu attent stockpil u crude gasolin higher time last year heavi stockpil could help forc price lower demand ea,business
hagu given pm ambit former conserv leader william hagu say stand leadership given ambit prime minist mr hagu told daili telegraph would find life domin polit bore unfulfil mr hagu step parti elect defeat rule return front bench also told paper hope remain mp richmond north york start famili wife ffion mr hagu recent publish biographi william pitt younger also said want continu write book speech write told newspap know whether ever go back front rush ask would stand leadership mr hagu repli definit determin stay away central role disappoint senior conserv member say parti need tim collin shadow educ secretari said last week would huge boost parti mr hagu return front bench mr hagu becam mp leader opposit said feel fortun age cram entir polit career cabinet leader parti branch thing liber feel mr hagu ad may misjudg ambit prime minist mayb driven polit thought said,politics
